"UTMX","UTMY","name"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299000,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
