X,colout,Sdepth,UTMX,UTMY
45466,7.29,1,404000,4124000
45467,7.25,1.5,404000,4124000
45468,7.18,2,404000,4124000
45469,7.05,2.5,404000,4124000
45470,6.95,3,404000,4124000
45471,6.85,3.5,404000,4124000
45472,6.61,4,404000,4124000
45473,6.49,4.5,404000,4124000
45474,6.44,5,404000,4124000
45475,6.43,5.5,404000,4124000
45476,6.5,6,404000,4124000
45477,6.54,6.5,404000,4124000
45478,6.56,7,404000,4124000
45479,6.59,7.5,404000,4124000
45480,6.61,8,404000,4124000
45481,6.61,8.5,404000,4124000
45482,6.61,9,404000,4124000
45483,5.08,9.5,404000,4124000
45484,5.07,10,404000,4124000
45485,5.07,10.5,404000,4124000
45486,5.07,11,404000,4124000
45487,5.07,11.5,404000,4124000
45488,5.07,12,404000,4124000
45315,7.34,0,403000,4125000
45316,7.37,0.5,403000,4125000
45317,7.38,1,403000,4125000
45318,7.33,1.5,403000,4125000
45319,7.23,2,403000,4125000
45320,7.07,2.5,403000,4125000
45321,6.96,3,403000,4125000
45322,6.85,3.5,403000,4125000
45323,6.43,4,403000,4125000
45324,6.32,4.5,403000,4125000
45325,6.35,5,403000,4125000
45326,6.33,5.5,403000,4125000
45327,6.43,6,403000,4125000
45328,6.46,6.5,403000,4125000
45329,6.48,7,403000,4125000
45330,6.5,7.5,403000,4125000
45331,6.53,8,403000,4125000
45332,6.53,8.5,403000,4125000
45333,6.53,9,403000,4125000
45334,5.08,9.5,403000,4125000
45335,5.07,10,403000,4125000
45336,5.07,10.5,403000,4125000
45337,5.07,11,403000,4125000
45338,5.07,11.5,403000,4125000
45339,5.07,12,403000,4125000
45186,7.42,0,403000,4126000
45187,7.45,0.5,403000,4126000
45188,7.45,1,403000,4126000
45189,7.39,1.5,403000,4126000
45190,7.27,2,403000,4126000
45191,7.08,2.5,403000,4126000
45192,6.82,3,403000,4126000
45193,6.56,3.5,403000,4126000
45194,6.15,4,403000,4126000
45195,6.07,4.5,403000,4126000
45196,6.28,5,403000,4126000
45197,6.26,5.5,403000,4126000
45198,6.37,6,403000,4126000
45199,6.39,6.5,403000,4126000
45200,6.41,7,403000,4126000
45201,6.43,7.5,403000,4126000
45202,6.45,8,403000,4126000
45203,6.46,8.5,403000,4126000
45204,6.46,9,403000,4126000
45205,5.08,9.5,403000,4126000
45206,5.07,10,403000,4126000
45207,5.07,10.5,403000,4126000
45208,5.07,11,403000,4126000
45209,5.07,11.5,403000,4126000
45210,5.07,12,403000,4126000
45052,7.49,0,403000,4127000
45053,7.52,0.5,403000,4127000
