"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
400700,4235000,"HNGMH",1.64042,10000,7.07,82.2,"400700 4235000",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4235100,"HNGMH",0,10000,7.15,82.3,"400700 4235100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4234400,"HNGMH",1.64042,10000,7.04,82.2,"400800 4234400",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4234500,"HNGMH",1.64042,10000,7.05,82.2,"400800 4234500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4234600,"HNGMH",3.28084,10000,6.92,82.2,"400800 4234600",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4234700,"HNGMH",3.28084,10000,6.92,82.2,"400800 4234700",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4234800,"HNGMH",1.64042,10000,7.06,82.2,"400800 4234800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4234900,"HNGMH",3.28084,10000,6.93,82.2,"400800 4234900",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4235000,"HNGMH",3.28084,10000,6.93,82.2,"400800 4235000",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400800,4235100,"HNGMH",4.92126,10000,6.78,82.1,"400800 4235100",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4234400,"HNGMH",0,10000,7.11,82.3,"400900 4234400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4234500,"HNGMH",1.64042,10000,7.04,82.2,"400900 4234500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4234600,"HNGMH",0,10000,7.12,82.3,"400900 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4234700,"HNGMH",3.28084,10000,6.92,82.2,"400900 4234700",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4234800,"HNGMH",1.64042,10000,7.06,82.2,"400900 4234800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4234900,"HNGMH",0,10000,7.13,82.3,"400900 4234900",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400900,4235000,"HNGMH",0,10000,7.14,82.3,"400900 4235000",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4210000,"CB5MH_MD",1.64042,1e+06,6.42,81.8,"401000 4210000",0.5,"Middle Grounds",3,3,"#1E90FF","Suitable"
401000,4234300,"HNGMH",1.64042,10000,7.03,82.2,"401000 4234300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4234400,"HNGMH",0,10000,7.11,82.3,"401000 4234400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4234500,"HNGMH",3.28084,10000,6.91,82.2,"401000 4234500",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4234600,"HNGMH",3.28084,10000,6.91,82.2,"401000 4234600",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4234700,"HNGMH",1.64042,10000,7.05,82.2,"401000 4234700",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4234800,"HNGMH",0,10000,7.13,82.3,"401000 4234800",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4234900,"HNGMH",0,10000,7.13,82.3,"401000 4234900",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4235000,"HNGMH",3.28084,10000,6.93,82.2,"401000 4235000",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401000,4358000,"CB2OH",0,1e+06,8.12,84.4,"401000 4358000",0,"Shad Battery Shoal",1,1,"#F9A100","Marginal"
401100,4234300,"HNGMH",0,10000,7.11,82.3,"401100 4234300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4234400,"HNGMH",0,10000,7.11,82.3,"401100 4234400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4234500,"HNGMH",1.64042,10000,7.04,82.2,"401100 4234500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4234600,"HNGMH",0,10000,7.12,82.3,"401100 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4234700,"HNGMH",3.28084,10000,6.91,82.2,"401100 4234700",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4234800,"HNGMH",1.64042,10000,7.05,82.2,"401100 4234800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4234900,"HNGMH",3.28084,10000,6.92,82.2,"401100 4234900",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401100,4235000,"HNGMH",3.28084,10000,6.92,82.2,"401100 4235000",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234300,"HNGMH",0,10000,7.1,82.3,"401200 4234300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234400,"HNGMH",1.64042,10000,7.03,82.2,"401200 4234400",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234500,"HNGMH",0,10000,7.11,82.3,"401200 4234500",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234600,"HNGMH",0,10000,7.12,82.3,"401200 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234700,"HNGMH",3.28084,10000,6.91,82.2,"401200 4234700",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234800,"HNGMH",3.28084,10000,6.91,82.2,"401200 4234800",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401200,4234900,"HNGMH",3.28084,10000,6.92,82.2,"401200 4234900",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234300,"HNGMH",1.64042,10000,7.03,82.2,"401300 4234300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234400,"HNGMH",1.64042,10000,7.03,82.2,"401300 4234400",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234500,"HNGMH",3.28084,10000,6.9,82.2,"401300 4234500",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234600,"HNGMH",0,10000,7.11,82.4,"401300 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234700,"HNGMH",3.28084,10000,6.91,82.2,"401300 4234700",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234800,"HNGMH",1.64042,10000,7.05,82.2,"401300 4234800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401300,4234900,"HNGMH",6.56168,10000,6.61,82.1,"401300 4234900",2,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234200,"HNGMH",1.64042,10000,7.02,82.2,"401400 4234200",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234300,"HNGMH",0,10000,7.1,82.4,"401400 4234300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234400,"HNGMH",0,10000,7.11,82.4,"401400 4234400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234500,"HNGMH",3.28084,10000,6.9,82.2,"401400 4234500",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234600,"HNGMH",3.28084,10000,6.9,82.2,"401400 4234600",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234700,"HNGMH",0,10000,7.12,82.4,"401400 4234700",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401400,4234800,"HNGMH",4.92126,10000,6.75,82.2,"401400 4234800",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401500,4234200,"HNGMH",0,10000,7.1,82.4,"401500 4234200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401500,4234300,"HNGMH",0,10000,7.1,82.4,"401500 4234300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401500,4234400,"HNGMH",1.64042,10000,7.03,82.2,"401500 4234400",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401500,4234500,"HNGMH",3.28084,10000,6.89,82.2,"401500 4234500",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401500,4234600,"HNGMH",0,10000,7.11,82.4,"401500 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401500,4234700,"HNGMH",0,10000,7.12,82.4,"401500 4234700",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401600,4234200,"HNGMH",0,10000,7.09,82.4,"401600 4234200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401600,4234300,"HNGMH",1.64042,10000,7.02,82.2,"401600 4234300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401600,4234400,"HNGMH",0,10000,7.1,82.4,"401600 4234400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401600,4234500,"HNGMH",0,10000,7.11,82.4,"401600 4234500",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401600,4234600,"HNGMH",0,10000,7.11,82.4,"401600 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401600,4234700,"HNGMH",11.48294,10000,5.87,81.6,"401600 4234700",3.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401700,4234200,"HNGMH",0,10000,7.09,82.4,"401700 4234200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401700,4234300,"HNGMH",1.64042,10000,7.02,82.3,"401700 4234300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401700,4234400,"HNGMH",3.28084,10000,6.88,82.2,"401700 4234400",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401700,4234500,"HNGMH",0,10000,7.1,82.4,"401700 4234500",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401700,4234600,"HNGMH",4.92126,10000,6.74,82.2,"401700 4234600",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401800,4234100,"HNGMH",1.64042,10000,7.01,82.3,"401800 4234100",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401800,4234200,"HNGMH",0,10000,7.09,82.4,"401800 4234200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401800,4234300,"HNGMH",1.64042,10000,7.02,82.3,"401800 4234300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401800,4234400,"HNGMH",1.64042,10000,7.02,82.3,"401800 4234400",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401800,4234500,"HNGMH",8.2021,10000,6.39,82,"401800 4234500",2.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401900,4233900,"HNGMH",0,10000,7.08,82.4,"401900 4233900",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401900,4234000,"HNGMH",1.64042,10000,7,82.3,"401900 4234000",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401900,4234100,"HNGMH",1.64042,10000,7.01,82.3,"401900 4234100",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401900,4234200,"HNGMH",0,10000,7.09,82.4,"401900 4234200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401900,4234300,"HNGMH",0,10000,7.09,82.4,"401900 4234300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
401900,4234400,"HNGMH",11.48294,10000,5.87,81.6,"401900 4234400",3.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402000,4233800,"HNGMH",1.64042,10000,6.99,82.3,"402000 4233800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402000,4233900,"HNGMH",0,10000,7.08,82.4,"402000 4233900",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402000,4234000,"HNGMH",0,10000,7.08,82.4,"402000 4234000",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402000,4234100,"HNGMH",0,10000,7.09,82.4,"402000 4234100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402000,4234200,"HNGMH",1.64042,10000,7.01,82.3,"402000 4234200",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402000,4234300,"HNGMH",3.28084,10000,6.87,82.3,"402000 4234300",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
