"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempF"
"CB4.2C",2025-07-21,12,24.8,7.3,0.1,24100,14.6,NA,NA,"MDmain",76.64
"CB4.2C",2025-07-21,13,24.5,7.3,0.1,25200,15.4,NA,NA,"MDmain",76.1
"CB4.2C",2025-07-21,14,24.2,7.3,0.1,25800,15.8,NA,NA,"MDmain",75.56
"CB4.2C",2025-07-21,15,24.1,7.3,0.1,26300,16.1,NA,NA,"MDmain",75.38
"CB4.2C",2025-07-21,16,24,7.3,0.1,27000,16.6,NA,NA,"MDmain",75.2
"CB4.2C",2025-07-21,17,24,7.3,0.1,27500,16.9,NA,NA,"MDmain",75.2
"CB4.2C",2025-07-21,19,23.9,7.3,0.1,28000,17.2,NA,NA,"MDmain",75.02
"CB4.2C",2025-07-21,21,23.9,7.3,0.1,28200,17.4,NA,NA,"MDmain",75.02
"CB4.2C",2025-07-21,23,23.9,7.3,0.1,28300,17.4,NA,NA,"MDmain",75.02
"CB4.2C",2025-07-21,25,23.9,7.3,0.1,28300,17.4,NA,NA,"MDmain",75.02
"CB4.2E",2025-07-21,0.5,28.5,8.2,6.5,16200,9.4,NA,"1.6","MDmain",83.3
"CB4.2E",2025-07-21,1,28.5,8.2,6.5,16200,9.4,NA,NA,"MDmain",83.3
"CB4.2E",2025-07-21,2,28.6,8.2,6.3,16200,9.4,NA,NA,"MDmain",83.48
"CB4.2E",2025-07-21,3,28.6,8.2,6.3,16300,9.5,NA,NA,"MDmain",83.48
"CB4.2E",2025-07-21,4,28.8,8.1,5.7,17000,9.9,NA,NA,"MDmain",83.84
"CB4.2E",2025-07-21,5,27.2,7.5,2.1,19300,11.4,NA,NA,"MDmain",80.96
"CB4.2E",2025-07-21,6,27.2,7.5,2.4,19700,11.7,NA,NA,"MDmain",80.96
"CB4.2E",2025-07-21,7,27,7.5,2.4,20100,12,NA,NA,"MDmain",80.6
"CB4.2E",2025-07-21,8,26.8,7.5,1.8,20500,12.2,NA,NA,"MDmain",80.24
"CB4.1E",2025-07-21,0.5,28.8,8.5,7.9,14600,8.5,NA,"1","MDmain",83.84
"CB4.1E",2025-07-21,1,28.8,8.5,7.8,14600,8.5,NA,NA,"MDmain",83.84
"CB4.1E",2025-07-21,2,28.7,8.5,7.7,14600,8.5,NA,NA,"MDmain",83.66
"CB4.1E",2025-07-21,3,28.6,8.4,7.1,14700,8.5,NA,NA,"MDmain",83.48
"CB4.1E",2025-07-21,4,28.5,8.3,6.5,14700,8.5,NA,NA,"MDmain",83.3
"CB4.1E",2025-07-21,5,28.3,8.2,5.5,14800,8.6,NA,NA,"MDmain",82.94
"CB4.1E",2025-07-21,6,27.5,7.7,3.1,16100,9.4,NA,NA,"MDmain",81.5
"CB4.1E",2025-07-21,7,25.6,7.3,0.2,20200,12.1,NA,NA,"MDmain",78.08
"CB4.1E",2025-07-21,8,25.4,7.3,0.1,20600,12.3,NA,NA,"MDmain",77.72
"CB4.1E",2025-07-21,9,25.3,7.3,0.1,20800,12.4,NA,NA,"MDmain",77.54
"CB4.1E",2025-07-21,10,25.2,7.3,0.1,20800,12.4,NA,NA,"MDmain",77.36
"CB4.1E",2025-07-21,11,25.2,7.3,0.1,20900,12.5,NA,NA,"MDmain",77.36
"CB4.1E",2025-07-21,12,25.2,7.3,0.1,20900,12.5,NA,NA,"MDmain",77.36
"CB4.1E",2025-07-21,13,25.1,7.3,0.1,21100,12.7,NA,NA,"MDmain",77.18
"CB4.1E",2025-07-21,14,24.6,7.3,0.1,22000,13.2,NA,NA,"MDmain",76.28
"CB4.1E",2025-07-21,15,24.4,7.3,0.1,22400,13.5,NA,NA,"MDmain",75.92
"CB4.1E",2025-07-21,16,24.3,7.3,0.1,22600,13.6,NA,NA,"MDmain",75.74
"CB4.1E",2025-07-21,17,24.2,7.3,0.1,23000,13.9,NA,NA,"MDmain",75.56
"CB4.1E",2025-07-21,19,24,7.3,0.1,23400,14.1,NA,NA,"MDmain",75.2
"CB4.1E",2025-07-21,21,23.7,7.3,0.1,24200,14.7,NA,NA,"MDmain",74.66
"CB4.1E",2025-07-21,22,23.7,7.3,0.1,24500,14.9,NA,NA,"MDmain",74.66
"CB4.1C",2025-07-21,0.5,28.4,8.5,7.8,13900,8,NA,"1","MDmain",83.12
"CB4.1C",2025-07-21,1,28.3,8.4,7.2,13900,8,NA,NA,"MDmain",82.94
"CB4.1C",2025-07-21,2,28.2,8.4,6.8,14100,8.1,NA,NA,"MDmain",82.76
"CB4.1C",2025-07-21,3,28.2,8.3,6.2,14600,8.5,NA,NA,"MDmain",82.76
"CB4.1C",2025-07-21,4,27.5,7.5,2.1,16400,9.6,NA,NA,"MDmain",81.5
"CB4.1C",2025-07-21,5,26.8,7.4,0.9,18400,10.9,NA,NA,"MDmain",80.24
"CB4.1C",2025-07-21,6,26.4,7.3,0.5,18700,11.1,NA,NA,"MDmain",79.52
"CB4.1C",2025-07-21,7,26.3,7.3,0.3,18900,11.2,NA,NA,"MDmain",79.34
"CB4.1C",2025-07-21,8,25.4,7.3,0.1,20700,12.4,NA,NA,"MDmain",77.72
"CB4.1C",2025-07-21,9,25.2,7.3,0.1,20900,12.5,NA,NA,"MDmain",77.36
"CB4.1C",2025-07-21,10,24.5,7.3,0.1,22100,13.3,NA,NA,"MDmain",76.1
"CB4.1C",2025-07-21,11,24.1,7.3,0.1,22800,13.8,NA,NA,"MDmain",75.38
"CB4.1C",2025-07-21,12,23.9,7.3,0.1,23400,14.2,NA,NA,"MDmain",75.02
"CB4.1C",2025-07-21,13,23.8,7.3,0.1,23500,14.2,NA,NA,"MDmain",74.84
"CB4.1C",2025-07-21,15,23.6,7.3,0.1,24100,14.6,NA,NA,"MDmain",74.48
"CB4.1C",2025-07-21,17,23.5,7.3,0.1,24900,15.2,NA,NA,"MDmain",74.3
"CB4.1C",2025-07-21,19,23.4,7.3,0.1,25400,15.5,NA,NA,"MDmain",74.12
"CB4.1C",2025-07-21,21,23.4,7.3,0.1,25800,15.8,NA,NA,"MDmain",74.12
"CB4.1C",2025-07-21,23,23.3,7.3,0.1,26100,16,NA,NA,"MDmain",73.94
"CB4.1C",2025-07-21,25,23.3,7.3,0.1,26800,16.4,NA,NA,"MDmain",73.94
"CB4.1C",2025-07-21,27,23.3,7.3,0.1,26900,16.5,NA,NA,"MDmain",73.94
"CB4.1C",2025-07-21,29,23.4,7.3,0.1,27100,16.7,NA,NA,"MDmain",74.12
"CB4.1C",2025-07-21,30,23.4,7.3,0.1,27200,16.7,NA,NA,"MDmain",74.12
"CB4.1W",2025-07-21,0.5,28.6,8.7,10.9,12000,6.8,NA,"0.5","MDmain",83.48
"CB4.1W",2025-07-21,1,28.6,8.8,11.4,12000,6.8,NA,NA,"MDmain",83.48
"CB4.1W",2025-07-21,2,28.4,8.6,9.4,12000,6.9,NA,NA,"MDmain",83.12
"CB4.1W",2025-07-21,3,28.2,8.5,8,12100,6.9,NA,NA,"MDmain",82.76
"CB4.1W",2025-07-21,4,28.2,8.4,7.6,12100,6.9,NA,NA,"MDmain",82.76
"CB4.1W",2025-07-21,5,28.2,8.4,7.2,12200,7,NA,NA,"MDmain",82.76
"CB4.1W",2025-07-21,6,28.2,8.3,6.7,12400,7.1,NA,NA,"MDmain",82.76
"CB4.1W",2025-07-21,7,28.3,8.2,5.8,12800,7.3,NA,NA,"MDmain",82.94
"CB3.3E",2025-07-21,0.5,28.4,8.3,8.2,8890,4.9,NA,"1","MDmain",83.12
"CB3.3E",2025-07-21,1,28.4,8.2,7,8770,4.9,NA,NA,"MDmain",83.12
"CB3.3E",2025-07-21,2,28.3,8.1,6.7,8800,4.9,NA,NA,"MDmain",82.94
"CB3.3E",2025-07-21,3,28.3,8,6.3,9030,5,NA,NA,"MDmain",82.94
"CB3.3E",2025-07-21,4,28.3,8,5.8,9730,5.4,NA,NA,"MDmain",82.94
"CB3.3E",2025-07-21,5,28.2,7.9,4.8,11300,6.4,NA,NA,"MDmain",82.76
"CB3.3E",2025-07-21,6,28.2,7.9,4.7,11600,6.6,NA,NA,"MDmain",82.76
"CB3.3C",2025-07-21,0.5,28.8,8.3,7.8,8450,4.7,NA,"1","MDmain",83.84
